,node_loc,technology,year_vtg,year_act,mode,time,value,unit
0,South Africa,bio_extr,2010,2010,M1,year,50,???
1,South Africa,bio_extr,2020,2020,M1,year,50,???
2,South Africa,bio_extr,2030,2030,M1,year,50,???
3,South Africa,bio_extr,2040,2040,M1,year,50,???
4,South Africa,bio_extr,2050,2050,M1,year,50,???
5,South Africa,bio_extr,2060,2060,M1,year,50,???
6,South Africa,bio_extr,2070,2070,M1,year,50,???
7,South Africa,bio_istig,2010,2010,M1,year,0,USD/GWa
8,South Africa,bio_istig,2010,2020,M1,year,0,USD/GWa
9,South Africa,bio_istig,2010,2030,M1,year,0,USD/GWa
10,South Africa,bio_istig,2020,2020,M1,year,0,USD/GWa
11,South Africa,bio_istig,2020,2030,M1,year,0,USD/GWa
12,South Africa,bio_istig,2020,2040,M1,year,0,USD/GWa
13,South Africa,bio_istig,2030,2030,M1,year,0,USD/GWa
14,South Africa,bio_istig,2030,2040,M1,year,0,USD/GWa
15,South Africa,bio_istig,2030,2050,M1,year,0,USD/GWa
16,South Africa,bio_istig,2040,2040,M1,year,0,USD/GWa
17,South Africa,bio_istig,2040,2050,M1,year,0,USD/GWa
18,South Africa,bio_istig,2040,2060,M1,year,0,USD/GWa
19,South Africa,bio_istig,2050,2050,M1,year,0,USD/GWa
20,South Africa,bio_istig,2050,2060,M1,year,0,USD/GWa
21,South Africa,bio_istig,2050,2070,M1,year,0,USD/GWa
22,South Africa,bio_istig,2060,2060,M1,year,0,USD/GWa
23,South Africa,bio_istig,2060,2070,M1,year,0,USD/GWa
24,South Africa,bio_istig,2070,2070,M1,year,0,USD/GWa
25,South Africa,biomass_i,1995,1995,M1,year,0,USD/GWa
26,South Africa,biomass_i,1995,2000,M1,year,0,USD/GWa
27,South Africa,biomass_i,1995,2005,M1,year,0,USD/GWa
28,South Africa,biomass_i,1995,2010,M1,year,0,USD/GWa
29,South Africa,biomass_i,2000,2000,M1,year,0,USD/GWa
30,South Africa,biomass_i,2000,2005,M1,year,0,USD/GWa
31,South Africa,biomass_i,2000,2010,M1,year,0,USD/GWa
32,South Africa,biomass_i,2000,2020,M1,year,0,USD/GWa
33,South Africa,biomass_i,2005,2005,M1,year,0,USD/GWa
34,South Africa,biomass_i,2005,2010,M1,year,0,USD/GWa
35,South Africa,biomass_i,2005,2020,M1,year,0,USD/GWa
36,South Africa,biomass_i,2010,2010,M1,year,0,USD/GWa
37,South Africa,biomass_i,2010,2020,M1,year,0,USD/GWa
38,South Africa,biomass_i,2010,2030,M1,year,0,USD/GWa
39,South Africa,biomass_i,2020,2020,M1,year,0,USD/GWa
40,South Africa,biomass_i,2020,2030,M1,year,0,USD/GWa
41,South Africa,biomass_i,2020,2040,M1,year,0,USD/GWa
42,South Africa,biomass_i,2030,2030,M1,year,0,USD/GWa
43,South Africa,biomass_i,2030,2040,M1,year,0,USD/GWa
44,South Africa,biomass_i,2030,2050,M1,year,0,USD/GWa
45,South Africa,biomass_i,2040,2040,M1,year,0,USD/GWa
46,South Africa,biomass_i,2040,2050,M1,year,0,USD/GWa
47,South Africa,biomass_i,2040,2060,M1,year,0,USD/GWa
48,South Africa,biomass_i,2050,2050,M1,year,0,USD/GWa
49,South Africa,biomass_i,2050,2060,M1,year,0,USD/GWa
50,South Africa,biomass_i,2050,2070,M1,year,0,USD/GWa
51,South Africa,biomass_i,2060,2060,M1,year,0,USD/GWa
52,South Africa,biomass_i,2060,2070,M1,year,0,USD/GWa
53,South Africa,biomass_i,2070,2070,M1,year,0,USD/GWa
54,South Africa,biomass_nc,1990,1990,M1,year,75,USD/GWa
55,South Africa,biomass_nc,1995,1995,M1,year,75,USD/GWa
56,South Africa,biomass_nc,2000,2000,M1,year,75,USD/GWa
57,South Africa,biomass_nc,2005,2005,M1,year,75,USD/GWa
58,South Africa,biomass_nc,2010,2010,M1,year,75,USD/GWa
59,South Africa,biomass_nc,2020,2020,M1,year,75,USD/GWa
60,South Africa,biomass_nc,2030,2030,M1,year,75,USD/GWa
61,South Africa,biomass_nc,2040,2040,M1,year,75,USD/GWa
62,South Africa,biomass_nc,2050,2050,M1,year,75,USD/GWa
63,South Africa,biomass_nc,2060,2060,M1,year,75,USD/GWa
64,South Africa,biomass_nc,2070,2070,M1,year,75,USD/GWa
65,South Africa,biomass_rc,1995,1995,M1,year,-40,USD/GWa
66,South Africa,biomass_rc,2000,2000,M1,year,-40,USD/GWa
67,South Africa,biomass_rc,2005,2005,M1,year,-40,USD/GWa
68,South Africa,biomass_rc,2010,2010,M1,year,-40,USD/GWa
69,South Africa,biomass_rc,2020,2020,M1,year,-40,USD/GWa
70,South Africa,biomass_rc,2030,2030,M1,year,-40,USD/GWa
71,South Africa,biomass_rc,2040,2040,M1,year,-40,USD/GWa
72,South Africa,biomass_rc,2050,2050,M1,year,-40,USD/GWa
73,South Africa,biomass_rc,2060,2060,M1,year,-40,USD/GWa
74,South Africa,biomass_rc,2070,2070,M1,year,-40,USD/GWa
75,South Africa,biomass_t_d,1990,1990,M1,year,0,USD/GWa
76,South Africa,biomass_t_d,1995,1995,M1,year,0,USD/GWa
77,South Africa,biomass_t_d,2000,2000,M1,year,0,USD/GWa
78,South Africa,biomass_t_d,2005,2005,M1,year,0,USD/GWa
79,South Africa,biomass_t_d,2010,2010,M1,year,0,USD/GWa
80,South Africa,biomass_t_d,2020,2020,M1,year,5,USD/GWa
81,South Africa,biomass_t_d,2030,2030,M1,year,10,USD/GWa
82,South Africa,biomass_t_d,2040,2040,M1,year,15,USD/GWa
83,South Africa,biomass_t_d,2050,2050,M1,year,20,USD/GWa
84,South Africa,biomass_t_d,2060,2060,M1,year,25,USD/GWa
85,South Africa,biomass_t_d,2070,2070,M1,year,30,USD/GWa
86,South Africa,coal_adv,2010,2010,M1,year,0,USD/GWa
87,South Africa,coal_adv,2010,2020,M1,year,0,USD/GWa
88,South Africa,coal_adv,2010,2030,M1,year,0,USD/GWa
89,South Africa,coal_adv,2020,2020,M1,year,0,USD/GWa
90,South Africa,coal_adv,2020,2030,M1,year,0,USD/GWa
91,South Africa,coal_adv,2020,2040,M1,year,0,USD/GWa
92,South Africa,coal_adv,2030,2030,M1,year,0,USD/GWa
93,South Africa,coal_adv,2030,2040,M1,year,0,USD/GWa
94,South Africa,coal_adv,2030,2050,M1,year,0,USD/GWa
95,South Africa,coal_adv,2040,2040,M1,year,0,USD/GWa
96,South Africa,coal_adv,2040,2050,M1,year,0,USD/GWa
97,South Africa,coal_adv,2040,2060,M1,year,0,USD/GWa
98,South Africa,coal_adv,2050,2050,M1,year,0,USD/GWa
99,South Africa,coal_adv,2050,2060,M1,year,0,USD/GWa
100,South Africa,coal_adv,2050,2070,M1,year,0,USD/GWa
101,South Africa,coal_adv,2060,2060,M1,year,0,USD/GWa
102,South Africa,coal_adv,2060,2070,M1,year,0,USD/GWa
103,South Africa,coal_adv,2070,2070,M1,year,0,USD/GWa
104,South Africa,coal_adv_ccs,2020,2020,M1,year,0,USD/GWa
105,South Africa,coal_adv_ccs,2020,2030,M1,year,0,USD/GWa
106,South Africa,coal_adv_ccs,2020,2040,M1,year,0,USD/GWa
107,South Africa,coal_adv_ccs,2030,2030,M1,year,0,USD/GWa
108,South Africa,coal_adv_ccs,2030,2040,M1,year,0,USD/GWa
109,South Africa,coal_adv_ccs,2030,2050,M1,year,0,USD/GWa
110,South Africa,coal_adv_ccs,2040,2040,M1,year,0,USD/GWa
111,South Africa,coal_adv_ccs,2040,2050,M1,year,0,USD/GWa
112,South Africa,coal_adv_ccs,2040,2060,M1,year,0,USD/GWa
113,South Africa,coal_adv_ccs,2050,2050,M1,year,0,USD/GWa
114,South Africa,coal_adv_ccs,2050,2060,M1,year,0,USD/GWa
115,South Africa,coal_adv_ccs,2050,2070,M1,year,0,USD/GWa
116,South Africa,coal_adv_ccs,2060,2060,M1,year,0,USD/GWa
117,South Africa,coal_adv_ccs,2060,2070,M1,year,0,USD/GWa
118,South Africa,coal_adv_ccs,2070,2070,M1,year,0,USD/GWa
119,South Africa,coal_bal,1990,1990,M1,year,0,USD/GWa
120,South Africa,coal_bal,1995,1995,M1,year,0,USD/GWa
121,South Africa,coal_bal,2000,2000,M1,year,0,USD/GWa
122,South Africa,coal_bal,2005,2005,M1,year,0,USD/GWa
123,South Africa,coal_bal,2010,2010,M1,year,0,USD/GWa
124,South Africa,coal_bal,2020,2020,M1,year,0,USD/GWa
125,South Africa,coal_bal,2030,2030,M1,year,0,USD/GWa
126,South Africa,coal_bal,2040,2040,M1,year,0,USD/GWa
127,South Africa,coal_bal,2050,2050,M1,year,0,USD/GWa
128,South Africa,coal_bal,2060,2060,M1,year,0,USD/GWa
129,South Africa,coal_bal,2070,2070,M1,year,0,USD/GWa
130,South Africa,coal_exp,2020,2020,M1,year,-52.90763,???
131,South Africa,coal_exp,2030,2030,M1,year,-51.752216,???
132,South Africa,coal_exp,2040,2040,M1,year,-58.815617,???
133,South Africa,coal_exp,2050,2050,M1,year,-61.13285,???
134,South Africa,coal_exp,2060,2060,M1,year,-63.450085,???
135,South Africa,coal_exp,2070,2070,M1,year,-65.76732,???
136,South Africa,coal_extr,1990,1990,M1,year,15,USD/GWa
137,South Africa,coal_extr,1995,1995,M1,year,15,USD/GWa
138,South Africa,coal_extr,2000,2000,M1,year,15,USD/GWa
139,South Africa,coal_extr,2005,2005,M1,year,15,USD/GWa
140,South Africa,coal_extr,2010,2010,M1,year,15,USD/GWa
141,South Africa,coal_extr,2020,2020,M1,year,16.56933188,USD/GWa
142,South Africa,coal_extr,2030,2030,M1,year,18.3028506,USD/GWa
143,South Africa,coal_extr,2040,2040,M1,year,20.21773373,USD/GWa
144,South Africa,coal_extr,2050,2050,M1,year,22.332956,USD/GWa
145,South Africa,coal_extr,2060,2060,M1,year,24.66947733,USD/GWa
146,South Africa,coal_extr,2070,2070,M1,year,27.25045048,USD/GWa
147,South Africa,coal_fs,1990,1990,M1,year,0,USD/GWa
148,South Africa,coal_fs,1995,1995,M1,year,0,USD/GWa
149,South Africa,coal_fs,2000,2000,M1,year,0,USD/GWa
150,South Africa,coal_fs,2005,2005,M1,year,0,USD/GWa
151,South Africa,coal_fs,2010,2010,M1,year,0,USD/GWa
152,South Africa,coal_fs,2020,2020,M1,year,0,USD/GWa
153,South Africa,coal_fs,2030,2030,M1,year,0,USD/GWa
154,South Africa,coal_fs,2040,2040,M1,year,0,USD/GWa
155,South Africa,coal_fs,2050,2050,M1,year,0,USD/GWa
156,South Africa,coal_fs,2060,2060,M1,year,0,USD/GWa
157,South Africa,coal_fs,2070,2070,M1,year,0,USD/GWa
158,South Africa,coal_gas,2010,2010,M1,year,0,USD/GWa
159,South Africa,coal_gas,2010,2020,M1,year,0,USD/GWa
160,South Africa,coal_gas,2010,2030,M1,year,0,USD/GWa
161,South Africa,coal_gas,2020,2020,M1,year,0,USD/GWa
162,South Africa,coal_gas,2020,2030,M1,year,0,USD/GWa
163,South Africa,coal_gas,2020,2040,M1,year,0,USD/GWa
164,South Africa,coal_gas,2030,2030,M1,year,0,USD/GWa
165,South Africa,coal_gas,2030,2040,M1,year,0,USD/GWa
166,South Africa,coal_gas,2030,2050,M1,year,0,USD/GWa
167,South Africa,coal_gas,2040,2040,M1,year,0,USD/GWa
168,South Africa,coal_gas,2040,2050,M1,year,0,USD/GWa
169,South Africa,coal_gas,2040,2060,M1,year,0,USD/GWa
170,South Africa,coal_gas,2050,2050,M1,year,0,USD/GWa
171,South Africa,coal_gas,2050,2060,M1,year,0,USD/GWa
172,South Africa,coal_gas,2050,2070,M1,year,0,USD/GWa
173,South Africa,coal_gas,2060,2060,M1,year,0,USD/GWa
174,South Africa,coal_gas,2060,2070,M1,year,0,USD/GWa
175,South Africa,coal_gas,2070,2070,M1,year,0,USD/GWa
176,South Africa,coal_i,1990,1990,M1,year,0,USD/GWa
177,South Africa,coal_i,1990,1995,M1,year,0,USD/GWa
178,South Africa,coal_i,1990,2000,M1,year,0,USD/GWa
179,South Africa,coal_i,1990,2005,M1,year,0,USD/GWa
180,South Africa,coal_i,1990,2010,M1,year,0,USD/GWa
181,South Africa,coal_i,1995,1995,M1,year,0,USD/GWa
182,South Africa,coal_i,1995,2000,M1,year,0,USD/GWa
183,South Africa,coal_i,1995,2005,M1,year,0,USD/GWa
184,South Africa,coal_i,1995,2010,M1,year,0,USD/GWa
185,South Africa,coal_i,2000,2000,M1,year,0,USD/GWa
186,South Africa,coal_i,2000,2005,M1,year,0,USD/GWa
187,South Africa,coal_i,2000,2010,M1,year,0,USD/GWa
188,South Africa,coal_i,2000,2020,M1,year,0,USD/GWa
189,South Africa,coal_i,2005,2005,M1,year,0,USD/GWa
190,South Africa,coal_i,2005,2010,M1,year,0,USD/GWa
191,South Africa,coal_i,2005,2020,M1,year,0,USD/GWa
192,South Africa,coal_i,2010,2010,M1,year,0,USD/GWa
193,South Africa,coal_i,2010,2020,M1,year,0,USD/GWa
194,South Africa,coal_i,2010,2030,M1,year,0,USD/GWa
195,South Africa,coal_i,2020,2020,M1,year,0,USD/GWa
196,South Africa,coal_i,2020,2030,M1,year,0,USD/GWa
197,South Africa,coal_i,2020,2040,M1,year,0,USD/GWa
198,South Africa,coal_i,2030,2030,M1,year,0,USD/GWa
199,South Africa,coal_i,2030,2040,M1,year,0,USD/GWa
200,South Africa,coal_i,2030,2050,M1,year,0,USD/GWa
201,South Africa,coal_i,2040,2040,M1,year,0,USD/GWa
202,South Africa,coal_i,2040,2050,M1,year,0,USD/GWa
203,South Africa,coal_i,2040,2060,M1,year,0,USD/GWa
204,South Africa,coal_i,2050,2050,M1,year,0,USD/GWa
205,South Africa,coal_i,2050,2060,M1,year,0,USD/GWa
206,South Africa,coal_i,2050,2070,M1,year,0,USD/GWa
207,South Africa,coal_i,2060,2060,M1,year,0,USD/GWa
208,South Africa,coal_i,2060,2070,M1,year,0,USD/GWa
209,South Africa,coal_i,2070,2070,M1,year,0,USD/GWa
210,South Africa,coal_imp,2020,2020,M1,year,130.6818499,???
211,South Africa,coal_imp,2030,2030,M1,year,127.8279758,???
212,South Africa,coal_imp,2040,2040,M1,year,145.2745753,???
213,South Africa,coal_imp,2050,2050,M1,year,150.9981452,???
214,South Africa,coal_imp,2060,2060,M1,year,156.7217204,???
215,South Africa,coal_imp,2070,2070,M1,year,162.4452823,???
216,South Africa,coal_ppl,1995,1995,M1,year,0,USD/GWa
217,South Africa,coal_ppl,1995,2000,M1,year,0,USD/GWa
218,South Africa,coal_ppl,1995,2005,M1,year,0,USD/GWa
219,South Africa,coal_ppl,1995,2010,M1,year,0,USD/GWa
220,South Africa,coal_ppl,1995,2020,M1,year,0,USD/GWa
221,South Africa,coal_ppl,2000,2000,M1,year,0,USD/GWa
222,South Africa,coal_ppl,2000,2005,M1,year,0,USD/GWa
223,South Africa,coal_ppl,2000,2010,M1,year,0,USD/GWa
224,South Africa,coal_ppl,2000,2020,M1,year,0,USD/GWa
225,South Africa,coal_ppl,2005,2005,M1,year,0,USD/GWa
226,South Africa,coal_ppl,2005,2010,M1,year,0,USD/GWa
227,South Africa,coal_ppl,2005,2020,M1,year,0,USD/GWa
228,South Africa,coal_ppl,2005,2030,M1,year,0,USD/GWa
229,South Africa,coal_ppl,2010,2010,M1,year,0,USD/GWa
230,South Africa,coal_ppl,2010,2020,M1,year,0,USD/GWa
231,South Africa,coal_ppl,2010,2030,M1,year,0,USD/GWa
232,South Africa,coal_ppl,2020,2020,M1,year,0,USD/GWa
233,South Africa,coal_ppl,2020,2030,M1,year,0,USD/GWa
234,South Africa,coal_ppl,2020,2040,M1,year,0,USD/GWa
235,South Africa,coal_ppl,2030,2030,M1,year,0,USD/GWa
236,South Africa,coal_ppl,2030,2040,M1,year,0,USD/GWa
237,South Africa,coal_ppl,2030,2050,M1,year,0,USD/GWa
238,South Africa,coal_ppl,2040,2040,M1,year,0,USD/GWa
239,South Africa,coal_ppl,2040,2050,M1,year,0,USD/GWa
240,South Africa,coal_ppl,2040,2060,M1,year,0,USD/GWa
241,South Africa,coal_ppl,2050,2050,M1,year,0,USD/GWa
242,South Africa,coal_ppl,2050,2060,M1,year,0,USD/GWa
243,South Africa,coal_ppl,2050,2070,M1,year,0,USD/GWa
244,South Africa,coal_ppl,2060,2060,M1,year,0,USD/GWa
245,South Africa,coal_ppl,2060,2070,M1,year,0,USD/GWa
246,South Africa,coal_ppl,2070,2070,M1,year,0,USD/GWa
247,South Africa,coal_rc,1990,1990,M1,year,0,USD/GWa
248,South Africa,coal_rc,1995,1995,M1,year,0,USD/GWa
249,South Africa,coal_rc,2000,2000,M1,year,0,USD/GWa
250,South Africa,coal_rc,2005,2005,M1,year,0,USD/GWa
251,South Africa,coal_rc,2010,2010,M1,year,0,USD/GWa
252,South Africa,coal_rc,2020,2020,M1,year,0,USD/GWa
253,South Africa,coal_rc,2030,2030,M1,year,0,USD/GWa
254,South Africa,coal_rc,2040,2040,M1,year,0,USD/GWa
255,South Africa,coal_rc,2050,2050,M1,year,0,USD/GWa
256,South Africa,coal_rc,2060,2060,M1,year,0,USD/GWa
257,South Africa,coal_rc,2070,2070,M1,year,0,USD/GWa
258,South Africa,coal_t_d,1990,1990,M1,year,20,USD/GWa
259,South Africa,coal_t_d,1995,1995,M1,year,20,USD/GWa
260,South Africa,coal_t_d,2000,2000,M1,year,20,USD/GWa
261,South Africa,coal_t_d,2005,2005,M1,year,20,USD/GWa
262,South Africa,coal_t_d,2010,2010,M1,year,20,USD/GWa
263,South Africa,coal_t_d,2020,2020,M1,year,20,USD/GWa
264,South Africa,coal_t_d,2030,2030,M1,year,20,USD/GWa
265,South Africa,coal_t_d,2040,2040,M1,year,20,USD/GWa
266,South Africa,coal_t_d,2050,2050,M1,year,20,USD/GWa
267,South Africa,coal_t_d,2060,2060,M1,year,20,USD/GWa
268,South Africa,coal_t_d,2070,2070,M1,year,20,USD/GWa
269,South Africa,elec_exp,2020,2020,M1,year,-209.64244,???
270,South Africa,elec_exp,2030,2030,M1,year,-221.81293,???
271,South Africa,elec_exp,2040,2040,M1,year,-237.0446,???
272,South Africa,elec_exp,2050,2050,M1,year,-263.94766,???
273,South Africa,elec_exp,2060,2060,M1,year,-290.8507,???
274,South Africa,elec_exp,2070,2070,M1,year,-317.75375,???
275,South Africa,elec_i,1990,1990,M1,year,0,USD/GWa
276,South Africa,elec_i,1990,1995,M1,year,0,USD/GWa
277,South Africa,elec_i,1990,2000,M1,year,0,USD/GWa
278,South Africa,elec_i,1990,2005,M1,year,0,USD/GWa
279,South Africa,elec_i,1995,1995,M1,year,0,USD/GWa
280,South Africa,elec_i,1995,2000,M1,year,0,USD/GWa
281,South Africa,elec_i,1995,2005,M1,year,0,USD/GWa
282,South Africa,elec_i,1995,2010,M1,year,0,USD/GWa
283,South Africa,elec_i,2000,2000,M1,year,0,USD/GWa
284,South Africa,elec_i,2000,2005,M1,year,0,USD/GWa
285,South Africa,elec_i,2000,2010,M1,year,0,USD/GWa
286,South Africa,elec_i,2005,2005,M1,year,0,USD/GWa
287,South Africa,elec_i,2005,2010,M1,year,0,USD/GWa
288,South Africa,elec_i,2005,2020,M1,year,0,USD/GWa
289,South Africa,elec_i,2010,2010,M1,year,0,USD/GWa
290,South Africa,elec_i,2010,2020,M1,year,0,USD/GWa
291,South Africa,elec_i,2020,2020,M1,year,0,USD/GWa
292,South Africa,elec_i,2020,2030,M1,year,0,USD/GWa
293,South Africa,elec_i,2030,2030,M1,year,0,USD/GWa
294,South Africa,elec_i,2030,2040,M1,year,0,USD/GWa
